Sira_ID,API_ID,Urun_Ismi,Urun_Barkodu,Muadil_Barkodlari,Gorsel_Path
51,260,APIKOBAL 30 TB,8699527090025,"[""8699527090032"", ""8699525097514"", ""8699525091277"", ""8699546095100"", ""8699828090052"", ""8699546099429"", ""8699527090032"", ""8699525097514"", ""8699525091277"", ""8699591090051"", ""8699546095100"", ""8699828090052"", ""8699546099429"", ""8699591090044""]","[""images/260/1.png"", ""images/260/2.png""]"
52,261,APIKOBAL 50 TB,8699527090032,"[""8699527090025"", ""8699525097514"", ""8699525091277"", ""8699546095100"", ""8699828090052"", ""8699546099429"", ""8699527090025"", ""8699525097514"", ""8699525091277"", ""8699591090051"", ""8699546095100"", ""8699828090052"", ""8699546099429"", ""8699591090044""]","[""images/261/1.jpg"", ""images/261/2.png"", ""images/261/3.png"", ""images/261/4.png""]"
53,263,APRANAX 275 MG 10 TB,8699514091509,"[""8699514091516"", ""8699569090021"", ""8699514091516"", ""8699569090021""]","[""images/263/1.jpg"", ""images/263/2.png"", ""images/263/3.png""]"
54,264,APRANAX 275 MG 20 TB,8699514091516,"[""8699514091509"", ""8699569090021"", ""8699514091509"", ""8699569090021""]","[""images/264/1.png"", ""images/264/2.jpg""]"
55,265,APRANAX FORT 10 TB,8699514091523,"[""8699525092199"", ""8699514091530"", ""8699525092205"", ""8699543010274"", ""8699543010250"", ""8699569090045"", ""8699569090052"", ""8699525092199"", ""8699514091530"", ""8699525092205"", ""8699543010274"", ""8699543010250"", ""8699569090045"", ""8699569090052""]","[""images/265/1.png"", ""images/265/2.png"", ""images/265/3.jpg""]"
56,266,APRANAX FORT 20 TB,8699514091530,"[""8699514091523"", ""8699525092199"", ""8699525092205"", ""8699543010274"", ""8699543010250"", ""8699569090045"", ""8699569090052"", ""8699514091523"", ""8699525092199"", ""8699525092205"", ""8699543010274"", ""8699543010250"", ""8699569090045"", ""8699569090052""]","[""images/266/1.jpg"", ""images/266/2.png""]"
57,268,APROL 275 MG 10 TB,8699569090021,"[""8699514091509"", ""8699514091516"", ""8699514091509"", ""8699514091516""]","[""images/268/1.png"", ""images/268/2.png"", ""images/268/3.png""]"
58,270,APROL FORT 10 TB,8699569090045,"[""8699514091523"", ""8699525092199"", ""8699514091530"", ""8699525092205"", ""8699543010274"", ""8699543010250"", ""8699569090052"", ""8699514091523"", ""8699525092199"", ""8699514091530"", ""8699525092205"", ""8699543010274"", ""8699543010250"", ""8699569090052""]","[""images/270/1.png"", ""images/270/2.png""]"
59,271,APROL FORT 20 TB,8699569090052,"[""8699514091523"", ""8699525092199"", ""8699514091530"", ""8699525092205"", ""8699543010274"", ""8699543010250"", ""8699569090045"", ""8699514091523"", ""8699525092199"", ""8699514091530"", ""8699525092205"", ""8699543010274"", ""8699543010250"", ""8699569090045""]","[""images/271/1.png"", ""images/271/2.png"", ""images/271/3.png""]"
60,274,APROWELL FORT 550 MG 10 TB,8699543010274,"[""8699514091523"", ""8699525092199"", ""8699514091530"", ""8699525092205"", ""8699543010250"", ""8699569090045"", ""8699569090052"", ""8699514091523"", ""8699525092199"", ""8699514091530"", ""8699525092205"", ""8699543010250"", ""8699569090045"", ""8699569090052""]","[""images/274/1.png"", ""images/274/2.jpg""]"
61,275,APROWELL FORT 550 MG 20 TB,8699543010250,"[""8699514091523"", ""8699525092199"", ""8699514091530"", ""8699525092205"", ""8699543010274"", ""8699569090045"", ""8699569090052"", ""8699514091523"", ""8699525092199"", ""8699514091530"", ""8699525092205"", ""8699543010274"", ""8699569090045"", ""8699569090052""]","[""images/275/1.png"", ""images/275/2.jpg""]"
62,279,ARCALION 200 MG 30 DRJ,8699552120315,[],"[""images/279/1.png"", ""images/279/2.jpg""]"
63,288,ARIMIDEX 1 MG 28 TB,8699586094163,"[""8699525098153"", ""8699516091705"", ""8699650982020"", ""8699525098153"", ""8699516091705"", ""8699650982020""]","[""images/288/1.jpg"", ""images/288/2.png"", ""images/288/3.jpg"", ""images/288/4.png""]"
64,299,ASIST 150 ML SRP,8699570570024,"[""8699772573731"", ""8699772573748"", ""8699828570219"", ""8699828570202"", ""8699570570079"", ""8699772573731"", ""8699772573748"", ""8699828570219"", ""8699828570202"", ""8699570570079""]","[""images/299/1.png"", ""images/299/2.png""]"
65,300,ASIVIRAL 200 MG 25 TB,8699792011145,"[""8699516015602"", ""8699516015602""]","[""images/300/1.png"", ""images/300/2.png"", ""images/300/3.jpg""]"
66,301,ASIVIRAL 400 MG 25 TB,8699792011152,[],"[""images/301/1.png"", ""images/301/2.png""]"
67,302,ASIVIRAL %5 10 GR KREM,8699792351135,"[""8680381900193"", ""8699516355616"", ""8699511350012"", ""8699522352692"", ""8680381900193"", ""8699516355616"", ""8699511350012"", ""8699522352692""]","[""images/302/1.jpg"", ""images/302/2.png"", ""images/302/3.png""]"
68,308,ASPIRIN 100 MG 20 TB (COCUK),8699546010028,[],"[""images/308/1.png""]"
69,310,ASPIRIN 500 MG 20 TB (BUYUK),8699546010011,[],"[""images/310/1.png"", ""images/310/2.png""]"
70,311,ASPIRIN PLUS C 10 EFF. TB,8699546020478,"[""8697929023504""]","[""images/311/1.png"", ""images/311/2.jpg""]"
71,315,ATARAX 200 ML SRP,8699624570062,[],"[""images/315/1.png"", ""images/315/2.jpg""]"
72,320,ATOKSILIN 1 GR 16 TB,8699717010031,"[""8699525010025"", ""8699569010111"", ""8699525010025"", ""8699569010111""]","[""images/320/1.jpg"", ""images/320/2.png"", ""images/320/3.png""]"
73,321,ATOKSILIN 500 MG 16 TB,8699717010024,"[""8699569010067"", ""8699569010067""]","[""images/321/1.png"", ""images/321/2.png"", ""images/321/3.jpg""]"
74,328,ATROPIN 1 MG 10 AMP (GLN),8699607750016,"[""8697637750266"", ""8697637750266""]","[""images/328/1.png"", ""images/328/2.png""]"
75,331,ATROPIN 1/2 MG 10 AMP (GLN),8699607750023,"[""8697637750242"", ""8697637750242""]","[""images/331/1.png"", ""images/331/2.png"", ""images/331/3.png""]"
76,339,AUGMENTIN-BID 1000 MG 10 TB,8699522095711,"[""8699525092472"", ""8699525093189"", ""8699522095650"", ""8699508090556"", ""8699717090149"", ""8699508090488"", ""8699717090064"", ""8699569090328"", ""8699569090694"", ""8699525092472"", ""8699525093189"", ""8699522095650"", ""8699508090556"", ""8699717090149"", ""8699508090488"", ""8699717090064"", ""8699569090328"", ""8699569090694""]","[""images/339/1.png"", ""images/339/2.png""]"
77,340,AUGMENTIN-BID 200 MG 70 ML SRP,8699522285754,"[""8699525283207"", ""8699525282484"", ""8699508280148"", ""8699508280155"", ""8699717280120"", ""8699569280231"", ""8699638284375"", ""8699717280076"", ""8699569280385"", ""8699591280032"", ""8699591280063"", ""8699525283207"", ""8699525282484"", ""8699508280148"", ""8699508280155"", ""8699717280120"", ""8699569280231"", ""8699638284375"", ""8699717280076"", ""8699569280385"", ""8699591280032"", ""8699591280063""]","[""images/340/1.png""]"
78,342,AUGMENTIN-BID 400 MG 70 ML SRP,8699522285792,"[""8699508280186"", ""8699525286451"", ""8699525283214"", ""8699525282507"", ""8699508280131"", ""8699508280162"", ""8699717280137"", ""8699569280224"", ""8699638284382"", ""8699717280090"", ""8699569280392"", ""8699569280422"", ""8699591280070"", ""8699591280087"", ""8699522285808"", ""8699508280186"", ""8699525286451"", ""8699525283214"", ""8699525282507"", ""8699508280131"", ""8699508280162"", ""8699717280137"", ""8699569280224"", ""8699638284382"", ""8699717280090"", ""8699569280392"", ""8699569280422"", ""8699591280070"", ""8699591280087"", ""8699522285808""]","[""images/342/1.png"", ""images/342/2.png""]"
79,343,AUGMENTIN-BID 625 MG 10 TB,8699522095704,"[""8699525092465"", ""8699525093172"", ""8699522095605"", ""8699508090532"", ""8699508090495"", ""8699717090132"", ""8699569090458"", ""8699525092465"", ""8699525093172"", ""8699522095605"", ""8699508090532"", ""8699508090495"", ""8699717090132"", ""8699569090458""]","[""images/343/1.png"", ""images/343/2.png""]"
80,345,AURORIX 150 MG 30 TB,8699525094582,[],"[""images/345/1.png""]"
81,346,AURORIX 300 MG 30 TB,8699525094599,[],"[""images/346/1.png""]"
82,348,AVICAP 3000 IU 30 KAP,8699828190011,[],"[""images/348/1.png""]"
83,351,AVIL 2 ML 5 AMP,8699516750343,"[""8681332750027"", ""8680712750060"", ""8697637750037"", ""8680222750109"", ""8681332750027"", ""8680712750060"", ""8697637750037"", ""8680222750109""]","[""images/351/1.png""]"
84,352,AVIL 25 GR POMAD,8699516380311,[],"[""images/352/1.png""]"
85,353,AVIL 100 ML SRP,8699516570330,[],"[""images/353/1.png""]"
86,354,AVIL 22.7 MG 20 TB,8699516010324,"[""8681428011902""]","[""images/354/1.png""]"
87,355,AVMIGRAN 325 MG 20 TB,8699508090020,[],"[""images/355/1.png"", ""images/355/2.png""]"
88,362,AZELDERM 30 GR KREM,8699561350123,[],"[""images/362/1.png"", ""images/362/2.jpg""]"
89,363,AZITRO 200 MG 15 ML SUSP,8699525282132,"[""8681308281012"", ""8699502280250"", ""8699578280017"", ""8699502280243"", ""8699578280024"", ""8699828280064"", ""8699525282149"", ""8699828280071"", ""8681308281012"", ""8699502280250"", ""8699578280017"", ""8699502280243"", ""8699578280024"", ""8699828280064"", ""8699525282149"", ""8699828280071""]","[""images/363/1.png""]"
90,364,AZITRO 250 MG 6 TB,8699525092915,"[""8699578090166"", ""8699578090166""]","[""images/364/1.png"", ""images/364/2.png""]"
91,365,AZITRO 200 MG 30 ML SUSP,8699525282149,"[""8681308281012"", ""8699502280250"", ""8699578280017"", ""8699502280243"", ""8699578280024"", ""8699525282132"", ""8699828280064"", ""8699828280071"", ""8681308281012"", ""8699502280250"", ""8699578280017"", ""8699502280243"", ""8699578280024"", ""8699525282132"", ""8699828280064"", ""8699828280071""]","[""images/365/1.png""]"
92,366,AZITRO 500 MG 3 TB,8699525092267,"[""8681308091000"", ""8699502091412"", ""8681308091024"", ""8699540090064"", ""8699828090625"", ""8699578090050"", ""8680199026986"", ""8681308091000"", ""8699502091412"", ""8681308091024"", ""8699540090064"", ""8699828090625"", ""8699578090050""]","[""images/366/1.png"", ""images/366/2.png""]"
93,371,AZRO 200 MG 15 ML SUSP,8699502280250,"[""8681308281012"", ""8699578280017"", ""8699502280243"", ""8699578280024"", ""8699525282132"", ""8699828280064"", ""8699525282149"", ""8699828280071"", ""8681308281012"", ""8699578280017"", ""8699502280243"", ""8699578280024"", ""8699525282132"", ""8699828280064"", ""8699525282149"", ""8699828280071""]","[""images/371/1.png"", ""images/371/2.jpg"", ""images/371/3.png""]"
94,372,AZRO 200 MG 30 ML SUSP,8699502280243,"[""8681308281012"", ""8699502280250"", ""8699578280017"", ""8699578280024"", ""8699525282132"", ""8699828280064"", ""8699525282149"", ""8699828280071"", ""8681308281012"", ""8699502280250"", ""8699578280017"", ""8699578280024"", ""8699525282132"", ""8699828280064"", ""8699525282149"", ""8699828280071""]","[""images/372/1.png"", ""images/372/2.jpg"", ""images/372/3.png""]"
95,373,AZRO 500 MG 3 TB,8699502091412,"[""8681308091000"", ""8681308091024"", ""8699540090064"", ""8699525092267"", ""8699828090625"", ""8699578090050"", ""8680199026986"", ""8681308091000"", ""8681308091024"", ""8699540090064"", ""8699525092267"", ""8699828090625"", ""8699578090050""]","[""images/373/1.png"", ""images/373/2.jpg""]"
96,376,INSULIN K.UCU 5 MM BD MICROFIN,382903204984,[],"[""images/376/1.jpg"", ""images/376/2.png""]"
97,384,B.T ENEMA 135 ML LAVMAN,8681801920784,"[""8681812046213"", ""8681801920791"", ""8681812046206"", ""8699544356500"", ""8699544356517"", ""8699544356524"", ""8681801920777"", ""8680400770257"", ""8680400770264"", ""8680400770271"", ""8681812046206"", ""8699544356524"", ""8680400770264""]","[""images/384/1.jpg"", ""images/384/2.png"", ""images/384/3.jpg"", ""images/384/4.jpg""]"
98,405,B6 VIGEN 50 MG 50 TB,8699774010050,[],"[""images/405/1.png""]"
99,409,BACTRIM FORT 20 TB,8699525094643,"[""8699717010048"", ""8699717010048""]","[""images/409/1.png""]"
100,410,BACTRIM 5 ML 1 IV AMP,8699525754615,[],"[""images/410/1.png""]"
101,411,BACTRIM 100 ML SRP,8699525284624,"[""8699717700055"", ""8699717700055""]","[""images/411/1.png""]"
102,412,BACTRIM 30 TB,8699525094636,"[""8699717010055"", ""8699717010055""]","[""images/412/1.png""]"
103,413,BACTROBAN POMAD 15 GR,8699522385522,"[""8680131752072"", ""8699511380200"", ""8680760380011"", ""8699844380410"", ""8699569380061"", ""8680131752072"", ""8699511380200"", ""8680760380011"", ""8699844380410"", ""8699569380061""]","[""images/413/1.png""]"
104,455,BEKLAZON 30 GR KREM,8699569350019,[],"[""images/455/1.jpg"", ""images/455/2.png""]"
105,456,BEKLAZON 50 ML LOSYON,8699569480013,[],"[""images/456/1.jpg"", ""images/456/2.png""]"
106,457,BEKLAZON 30 GR POMAD,8699569380016,[],"[""images/457/1.jpg"", ""images/457/2.png""]"
107,458,BEKUNIS 30 DRJ,8699514120117,[],"[""images/458/1.png"", ""images/458/2.png"", ""images/458/3.png"", ""images/458/4.jpg""]"
108,462,BELOC ZOK 100 MG 20 TB,8699786030374,"[""8699680030074"", ""8699792011480"", ""8699680030074"", ""8681428031962"", ""8699792011480""]","[""images/462/1.png"", ""images/462/2.jpg""]"
109,463,BELOC ZOK 50 MG 20 TB,8699786030367,"[""8699680030067"", ""8699680030203"", ""8699680030067"", ""8699680030203"", ""8681428031955"", ""8699792091499"", ""8681428031948""]","[""images/463/1.jpg"", ""images/463/2.png""]"
110,465,BEMIKS 2 ML 5 AMP,8681801751357,[],"[""images/465/1.jpg"", ""images/465/2.png"", ""images/465/3.png"", ""images/465/4.png""]"
111,468,BEN-GAY 50 GR POMAD,8683873438013,"[""8699578382216"", ""8699578382216""]","[""images/468/1.jpg"", ""images/468/2.png"", ""images/468/3.jpg""]"
112,472,BENICAL COLD 20 TB,8699546095131,[],"[""images/472/1.png""]"
113,491,BEPANTHENE 500 MG 5 AMP,8699546755141,"[""8683052347310""]","[""images/491/1.png""]"
114,494,BEPANTHEN PASTIL 20 / NOV,8699546115198,[],"[""images/494/1.png"", ""images/494/2.png""]"
115,495,BEPANTHENE PLUS 30 GR KREM,8699546355174,"[""8699511350036""]","[""images/495/1.jpg"", ""images/495/2.png""]"
116,507,BETAPLAST IPEK 5X1.25 (2501),8683249000325,[],"[""images/507/1.jpg""]"
117,508,BETAPLAST IPEK 5X2.5 (2502),8683249000332,[],"[""images/508/1.jpg""]"
118,509,BETAPLAST IPEK  5X5 (2505),8683249000349,[],"[""images/509/1.jpg""]"
119,512,BETANORM 80 MG 100 TB,8699543010212,"[""8699543010144"", ""8699543010144""]","[""images/512/1.png"", ""images/512/2.jpg""]"
120,514,BETANORM 80 MG 60 TB,8699543010144,"[""8699543010212"", ""8699543010212""]","[""images/514/1.png"", ""images/514/2.jpg""]"
121,517,BETAPLAST 5X1.25 CM (501),8683249000004,[],"[""images/517/1.jpg""]"
122,518,BETAPLAST 5X2.5 CM (502),8683249000028,[],"[""images/518/1.jpg""]"
123,519,BETAPLAST 5X5 CM (505),8683249000035,[],"[""images/519/1.jpg""]"
124,520,BETASERC 8 MG 30 TB,8699820010058,"[""8699514018568"", ""8699514018568""]","[""images/520/1.png""]"
125,522,BETNOVATE LOSYON 20 ML,8699522480432,"[""8699522490462""]","[""images/522/1.png""]"
126,524,BETNOVATE SAC LOSYONU 30 ML,8699522490462,"[""8699522480432""]","[""images/524/1.png""]"
127,527,BETOPTIC 5 ML OFT DAMLA,8699504612028,[],"[""images/527/1.jpg"", ""images/527/2.png""]"
128,528,BETOPTIC-S 5 ML OFT SOL,8699839611482,[],"[""images/528/1.png"", ""images/528/2.jpg"", ""images/528/3.jpg""]"
129,564,BIOKADIN 100 ML SOL,8699535890099,"[""8699690654031"", ""8699535890105"", ""8683027038083"", ""8683027038090"", ""8699690654000"", ""8699587653635"", ""8699789006017"", ""8699690654024"", ""8699789006024"", ""8699587653628"", ""8699535890082""]","[""images/564/1.png""]"
130,565,BIOKADIN 1000 ML SOL,8699535890105,"[""8699690654031"", ""8683027038083"", ""8683027038090"", ""8699690654000"", ""8699587653635"", ""8699789006017"", ""8699690654024"", ""8699789006024"", ""8699587653628"", ""8699535890082"", ""8699535890099""]","[""images/565/1.jpg"", ""images/565/2.png""]"
131,566,BIOKADIN 30 ML SOL,8699535890082,"[""8699690654031"", ""8699535890105"", ""8683027038083"", ""8683027038090"", ""8699690654000"", ""8699587653635"", ""8699789006017"", ""8699690654024"", ""8699789006024"", ""8699587653628"", ""8699535890099""]","[""images/566/1.png"", ""images/566/2.png""]"
132,567,BIOKADIN 14 VAJ SUPP,8699535890068,[],"[""images/567/1.jpg"", ""images/567/2.jpg""]"
133,574,NUTRISON MULTI FIBRE 500 ML,8699711953181,[],"[""images/574/1.png""]"
134,575,FORTIMEL DRINK CIKO.500(B.ORAL,8699711953365,"[""8699711953341""]","[""images/575/1.png"", ""images/575/2.png""]"
135,577,FORTIMEL DRINK MUZ 500(B.ORAL),8699711953341,"[""8699711953143"", ""8699745028947"", ""8699711953365""]","[""images/577/1.png"", ""images/577/2.png""]"
136,578,NUTRINI ENERGY 200 ML,8699711953235,[],"[""images/578/1.jpg""]"
137,579,NUTRINI 200 ML,8699711953204,[],"[""images/579/1.jpg""]"
138,580,NUTRISON 500 ML,8699711953143,"[""8699711953341"", ""8699745028947""]","[""images/580/1.png"", ""images/580/2.png""]"
139,586,BITERAL 3 ML 1 AMP,8699525754653,"[""8681332750072"", ""8681332750072""]","[""images/586/1.png"", ""images/586/2.png""]"
140,587,BITERAL 250 MG 20 TB,8699525094667,"[""8699514092315"", ""8680760091320"", ""8699514092315""]","[""images/587/1.png""]"
141,588,BITERAL VAJ 500 MG 3 TB,8699525105790,"[""8699514102366"", ""8699514102366""]","[""images/588/1.png""]"
142,589,BITIRON 100 TB,8699514016908,[],"[""images/589/1.png"", ""images/589/2.jpg""]"
