Sira_ID,API_ID,Urun_Ismi,Urun_Barkodu,Muadil_Barkodlari
26,166,AMARYL 1 MG 30 TB,8699809010208,"[""8699543010304"", ""8699543010304""]"
27,167,AMARYL 2 MG 30 TB,8699809010215,"[""8699543010328"", ""8699543010328""]"
28,168,AMARYL 3 MG 30 TB,8699809010222,"[""8699543010342"", ""8699543010342""]"
29,171,AMETIK  DAMLA,8699512590011,[]
30,173,AMIKOZIT 100 MG 1 FLK,8681801771003,"[""8699788750089"", ""8699788750089""]"
31,174,AMIKOZIT 500 MG 1 FLK,8681801771010,"[""8699788750140"", ""8699788750140""]"
32,187,AMLODIS 10 MG 20 TB,8699502012875,"[""8699536010236"", ""8699536010649"", ""8699525016003"", ""8699525014108"", ""8699578012830"", ""8699532015334"", ""8699638014316"", ""8699543010618"", ""8699511010169"", ""8699532014085"", ""8699536010236"", ""8699536010649"", ""8699525016003"", ""8699525014108"", ""8699578012830"", ""8699532015334"", ""8699638014316"", ""8699543010618"", ""8699511010169"", ""8699532014085""]"
33,188,AMLODIS 5 MG 20 TB,8699502012820,"[""8698778010622"", ""8699536010229"", ""8699525015990"", ""8699525014092"", ""8699532015327"", ""8699638014293"", ""8699511010114"", ""8699532014078"", ""8699578012823"", ""8699578012847"", ""8698778010622"", ""8699536010229"", ""8699525015990"", ""8699525014092"", ""8699532015327"", ""8699638014293"", ""8699511010114"", ""8699532014078"", ""8699578012823"", ""8699578012847""]"
34,192,AMOKLAVIN-BID 1000 MG 10 TB,8699525092472,"[""8699525093189"", ""8699522095650"", ""8699508090556"", ""8699717090149"", ""8699522095711"", ""8699508090488"", ""8699717090064"", ""8699569090328"", ""8699569090694"", ""8699525093189"", ""8699522095650"", ""8699508090556"", ""8699717090149"", ""8699522095711"", ""8699508090488"", ""8699717090064"", ""8699569090328"", ""8699569090694""]"
35,193,AMOKLAVIN-BID 200 MG 70ML SUSP,8699525282484,"[""8699525283207"", ""8699508280148"", ""8699508280155"", ""8699717280120"", ""8699522285754"", ""8699569280231"", ""8699638284375"", ""8699717280076"", ""8699569280385"", ""8699591280032"", ""8699591280063"", ""8699525283207"", ""8699508280148"", ""8699508280155"", ""8699717280120"", ""8699522285754"", ""8699569280231"", ""8699638284375"", ""8699717280076"", ""8699569280385"", ""8699591280032"", ""8699591280063""]"
36,195,AMOKLAVIN-BID 400 MG 70ML SUSP,8699525282507,"[""8699508280186"", ""8699525286451"", ""8699525283214"", ""8699508280131"", ""8699508280162"", ""8699717280137"", ""8699522285792"", ""8699569280224"", ""8699638284382"", ""8699717280090"", ""8699569280392"", ""8699569280422"", ""8699591280070"", ""8699591280087"", ""8699522285808"", ""8699508280186"", ""8699525286451"", ""8699525283214"", ""8699508280131"", ""8699508280162"", ""8699717280137"", ""8699522285792"", ""8699569280224"", ""8699638284382"", ""8699717280090"", ""8699569280392"", ""8699569280422"", ""8699591280070"", ""8699591280087"", ""8699522285808""]"
37,225,ANAFRANIL 10 MG 30 DRJ,8699529120010,[]
38,226,ANAFRANIL 25 MG 30 DRJ,8699529120027,[]
39,227,ANAFRANIL SR 75 MG 20 TB,8699529030036,[]
40,229,ANAPOLON 50 MG 20 TB,8699514017509,[]
41,231,ANDAZOL 200 MG 40 TB,8699578090036,"[""8699578090043"", ""8680199024463""]"
42,233,ANDOLOR 2 ML 10 AMP,8699508750016,"[""8680381900247"", ""8683060750102"", ""8680381900247"", ""8683060750102""]"
43,234,ANDOLOR 500 MG 20 TB,8699508010028,"[""8699809015012"", ""8699809015012""]"
44,235,ANDROCUR 100 MG 30 TB,8699546013838,[]
45,236,ANDROCUR 50 MG 50 TB,8699546011667,[]
46,238,ANESTOL 30 GR POMAD,8699516379018,"[""8698747380015"", ""8699622380106"", ""8698747380015"", ""8699622380106""]"
47,241,ANTABUS 500 MG 25 TB,8699540010208,[]
48,242,ANTEPSIN 250 ML SUSP,8699569700081,[]
49,243,ANTEPSIN 1 GR 60 TB,8699569010012,[]
50,258,APER 150 ML SRP,8699651570097,"[""8699540701205"", ""8699580570014"", ""8680760700024"", ""8681911570039"", ""8680150570138"", ""8699612570050"", ""8699717700062"", ""8699522705009"", ""8699570570246"", ""8699540701205"", ""8699580570014"", ""8680760700024"", ""8681911570039"", ""8680150570138"", ""8699612570050"", ""8699717700062"", ""8699525707703"", ""8699522705009""]"
51,260,APIKOBAL 30 TB,8699527090025,"[""8699527090032"", ""8699525097514"", ""8699525091277"", ""8699546095100"", ""8699828090052"", ""8699546099429"", ""8699527090032"", ""8699525097514"", ""8699525091277"", ""8699591090051"", ""8699546095100"", ""8699828090052"", ""8699546099429"", ""8699591090044""]"
52,261,APIKOBAL 50 TB,8699527090032,"[""8699527090025"", ""8699525097514"", ""8699525091277"", ""8699546095100"", ""8699828090052"", ""8699546099429"", ""8699527090025"", ""8699525097514"", ""8699525091277"", ""8699591090051"", ""8699546095100"", ""8699828090052"", ""8699546099429"", ""8699591090044""]"
53,263,APRANAX 275 MG 10 TB,8699514091509,"[""8699514091516"", ""8699569090021"", ""8699514091516"", ""8699569090021""]"
54,264,APRANAX 275 MG 20 TB,8699514091516,"[""8699514091509"", ""8699569090021"", ""8699514091509"", ""8699569090021""]"
55,265,APRANAX FORT 10 TB,8699514091523,"[""8699525092199"", ""8699514091530"", ""8699525092205"", ""8699543010274"", ""8699543010250"", ""8699569090045"", ""8699569090052"", ""8699525092199"", ""8699514091530"", ""8699525092205"", ""8699543010274"", ""8699543010250"", ""8699569090045"", ""8699569090052""]"
56,266,APRANAX FORT 20 TB,8699514091530,"[""8699514091523"", ""8699525092199"", ""8699525092205"", ""8699543010274"", ""8699543010250"", ""8699569090045"", ""8699569090052"", ""8699514091523"", ""8699525092199"", ""8699525092205"", ""8699543010274"", ""8699543010250"", ""8699569090045"", ""8699569090052""]"
57,268,APROL 275 MG 10 TB,8699569090021,"[""8699514091509"", ""8699514091516"", ""8699514091509"", ""8699514091516""]"
58,270,APROL FORT 10 TB,8699569090045,"[""8699514091523"", ""8699525092199"", ""8699514091530"", ""8699525092205"", ""8699543010274"", ""8699543010250"", ""8699569090052"", ""8699514091523"", ""8699525092199"", ""8699514091530"", ""8699525092205"", ""8699543010274"", ""8699543010250"", ""8699569090052""]"
59,271,APROL FORT 20 TB,8699569090052,"[""8699514091523"", ""8699525092199"", ""8699514091530"", ""8699525092205"", ""8699543010274"", ""8699543010250"", ""8699569090045"", ""8699514091523"", ""8699525092199"", ""8699514091530"", ""8699525092205"", ""8699543010274"", ""8699543010250"", ""8699569090045""]"
60,274,APROWELL FORT 550 MG 10 TB,8699543010274,"[""8699514091523"", ""8699525092199"", ""8699514091530"", ""8699525092205"", ""8699543010250"", ""8699569090045"", ""8699569090052"", ""8699514091523"", ""8699525092199"", ""8699514091530"", ""8699525092205"", ""8699543010250"", ""8699569090045"", ""8699569090052""]"
61,275,APROWELL FORT 550 MG 20 TB,8699543010250,"[""8699514091523"", ""8699525092199"", ""8699514091530"", ""8699525092205"", ""8699543010274"", ""8699569090045"", ""8699569090052"", ""8699514091523"", ""8699525092199"", ""8699514091530"", ""8699525092205"", ""8699543010274"", ""8699569090045"", ""8699569090052""]"
62,279,ARCALION 200 MG 30 DRJ,8699552120315,[]
63,288,ARIMIDEX 1 MG 28 TB,8699586094163,"[""8699525098153"", ""8699516091705"", ""8699650982020"", ""8699525098153"", ""8699516091705"", ""8699650982020""]"
64,299,ASIST 150 ML SRP,8699570570024,"[""8699772573731"", ""8699772573748"", ""8699828570219"", ""8699828570202"", ""8699570570079"", ""8699772573731"", ""8699772573748"", ""8699828570219"", ""8699828570202"", ""8699570570079""]"
65,300,ASIVIRAL 200 MG 25 TB,8699792011145,"[""8699516015602"", ""8699516015602""]"
66,301,ASIVIRAL 400 MG 25 TB,8699792011152,[]
67,302,ASIVIRAL %5 10 GR KREM,8699792351135,"[""8680381900193"", ""8699516355616"", ""8699511350012"", ""8699522352692"", ""8680381900193"", ""8699516355616"", ""8699511350012"", ""8699522352692""]"
68,308,ASPIRIN 100 MG 20 TB (COCUK),8699546010028,[]
69,310,ASPIRIN 500 MG 20 TB (BUYUK),8699546010011,[]
70,311,ASPIRIN PLUS C 10 EFF. TB,8699546020478,"[""8697929023504""]"
71,315,ATARAX 200 ML SRP,8699624570062,[]
72,320,ATOKSILIN 1 GR 16 TB,8699717010031,"[""8699525010025"", ""8699569010111"", ""8699525010025"", ""8699569010111""]"
73,321,ATOKSILIN 500 MG 16 TB,8699717010024,"[""8699569010067"", ""8699569010067""]"
74,328,ATROPIN 1 MG 10 AMP (GLN),8699607750016,"[""8697637750266"", ""8697637750266""]"
75,331,ATROPIN 1/2 MG 10 AMP (GLN),8699607750023,"[""8697637750242"", ""8697637750242""]"
76,339,AUGMENTIN-BID 1000 MG 10 TB,8699522095711,"[""8699525092472"", ""8699525093189"", ""8699522095650"", ""8699508090556"", ""8699717090149"", ""8699508090488"", ""8699717090064"", ""8699569090328"", ""8699569090694"", ""8699525092472"", ""8699525093189"", ""8699522095650"", ""8699508090556"", ""8699717090149"", ""8699508090488"", ""8699717090064"", ""8699569090328"", ""8699569090694""]"
77,340,AUGMENTIN-BID 200 MG 70 ML SRP,8699522285754,"[""8699525283207"", ""8699525282484"", ""8699508280148"", ""8699508280155"", ""8699717280120"", ""8699569280231"", ""8699638284375"", ""8699717280076"", ""8699569280385"", ""8699591280032"", ""8699591280063"", ""8699525283207"", ""8699525282484"", ""8699508280148"", ""8699508280155"", ""8699717280120"", ""8699569280231"", ""8699638284375"", ""8699717280076"", ""8699569280385"", ""8699591280032"", ""8699591280063""]"
78,342,AUGMENTIN-BID 400 MG 70 ML SRP,8699522285792,"[""8699508280186"", ""8699525286451"", ""8699525283214"", ""8699525282507"", ""8699508280131"", ""8699508280162"", ""8699717280137"", ""8699569280224"", ""8699638284382"", ""8699717280090"", ""8699569280392"", ""8699569280422"", ""8699591280070"", ""8699591280087"", ""8699522285808"", ""8699508280186"", ""8699525286451"", ""8699525283214"", ""8699525282507"", ""8699508280131"", ""8699508280162"", ""8699717280137"", ""8699569280224"", ""8699638284382"", ""8699717280090"", ""8699569280392"", ""8699569280422"", ""8699591280070"", ""8699591280087"", ""8699522285808""]"
79,343,AUGMENTIN-BID 625 MG 10 TB,8699522095704,"[""8699525092465"", ""8699525093172"", ""8699522095605"", ""8699508090532"", ""8699508090495"", ""8699717090132"", ""8699569090458"", ""8699525092465"", ""8699525093172"", ""8699522095605"", ""8699508090532"", ""8699508090495"", ""8699717090132"", ""8699569090458""]"
80,345,AURORIX 150 MG 30 TB,8699525094582,[]
81,346,AURORIX 300 MG 30 TB,8699525094599,[]
82,348,AVICAP 3000 IU 30 KAP,8699828190011,[]
83,351,AVIL 2 ML 5 AMP,8699516750343,"[""8681332750027"", ""8680712750060"", ""8697637750037"", ""8680222750109"", ""8681332750027"", ""8680712750060"", ""8697637750037"", ""8680222750109""]"
84,352,AVIL 25 GR POMAD,8699516380311,[]
85,353,AVIL 100 ML SRP,8699516570330,[]
86,354,AVIL 22.7 MG 20 TB,8699516010324,"[""8681428011902""]"
87,355,AVMIGRAN 325 MG 20 TB,8699508090020,[]
88,362,AZELDERM 30 GR KREM,8699561350123,[]
89,363,AZITRO 200 MG 15 ML SUSP,8699525282132,"[""8681308281012"", ""8699502280250"", ""8699578280017"", ""8699502280243"", ""8699578280024"", ""8699828280064"", ""8699525282149"", ""8699828280071"", ""8681308281012"", ""8699502280250"", ""8699578280017"", ""8699502280243"", ""8699578280024"", ""8699828280064"", ""8699525282149"", ""8699828280071""]"
90,364,AZITRO 250 MG 6 TB,8699525092915,"[""8699578090166"", ""8699578090166""]"
91,365,AZITRO 200 MG 30 ML SUSP,8699525282149,"[""8681308281012"", ""8699502280250"", ""8699578280017"", ""8699502280243"", ""8699578280024"", ""8699525282132"", ""8699828280064"", ""8699828280071"", ""8681308281012"", ""8699502280250"", ""8699578280017"", ""8699502280243"", ""8699578280024"", ""8699525282132"", ""8699828280064"", ""8699828280071""]"
92,366,AZITRO 500 MG 3 TB,8699525092267,"[""8681308091000"", ""8699502091412"", ""8681308091024"", ""8699540090064"", ""8699828090625"", ""8699578090050"", ""8680199026986"", ""8681308091000"", ""8699502091412"", ""8681308091024"", ""8699540090064"", ""8699828090625"", ""8699578090050""]"
93,371,AZRO 200 MG 15 ML SUSP,8699502280250,"[""8681308281012"", ""8699578280017"", ""8699502280243"", ""8699578280024"", ""8699525282132"", ""8699828280064"", ""8699525282149"", ""8699828280071"", ""8681308281012"", ""8699578280017"", ""8699502280243"", ""8699578280024"", ""8699525282132"", ""8699828280064"", ""8699525282149"", ""8699828280071""]"
94,372,AZRO 200 MG 30 ML SUSP,8699502280243,"[""8681308281012"", ""8699502280250"", ""8699578280017"", ""8699578280024"", ""8699525282132"", ""8699828280064"", ""8699525282149"", ""8699828280071"", ""8681308281012"", ""8699502280250"", ""8699578280017"", ""8699578280024"", ""8699525282132"", ""8699828280064"", ""8699525282149"", ""8699828280071""]"
95,373,AZRO 500 MG 3 TB,8699502091412,"[""8681308091000"", ""8681308091024"", ""8699540090064"", ""8699525092267"", ""8699828090625"", ""8699578090050"", ""8680199026986"", ""8681308091000"", ""8681308091024"", ""8699540090064"", ""8699525092267"", ""8699828090625"", ""8699578090050""]"
96,376,INSULIN K.UCU 5 MM BD MICROFIN,382903204984,[]
97,384,B.T ENEMA 135 ML LAVMAN,8681801920784,"[""8681812046213"", ""8681801920791"", ""8681812046206"", ""8699544356500"", ""8699544356517"", ""8699544356524"", ""8681801920777"", ""8680400770257"", ""8680400770264"", ""8680400770271"", ""8681812046206"", ""8699544356524"", ""8680400770264""]"
98,405,B6 VIGEN 50 MG 50 TB,8699774010050,[]
99,409,BACTRIM FORT 20 TB,8699525094643,"[""8699717010048"", ""8699717010048""]"
100,410,BACTRIM 5 ML 1 IV AMP,8699525754615,[]
101,411,BACTRIM 100 ML SRP,8699525284624,"[""8699717700055"", ""8699717700055""]"
102,412,BACTRIM 30 TB,8699525094636,"[""8699717010055"", ""8699717010055""]"
103,413,BACTROBAN POMAD 15 GR,8699522385522,"[""8680131752072"", ""8699511380200"", ""8680760380011"", ""8699844380410"", ""8699569380061"", ""8680131752072"", ""8699511380200"", ""8680760380011"", ""8699844380410"", ""8699569380061""]"
104,455,BEKLAZON 30 GR KREM,8699569350019,[]
105,456,BEKLAZON 50 ML LOSYON,8699569480013,[]
106,457,BEKLAZON 30 GR POMAD,8699569380016,[]
107,458,BEKUNIS 30 DRJ,8699514120117,[]
108,462,BELOC ZOK 100 MG 20 TB,8699786030374,"[""8699680030074"", ""8699792011480"", ""8699680030074"", ""8681428031962"", ""8699792011480""]"
109,463,BELOC ZOK 50 MG 20 TB,8699786030367,"[""8699680030067"", ""8699680030203"", ""8699680030067"", ""8699680030203"", ""8681428031955"", ""8699792091499"", ""8681428031948""]"
110,465,BEMIKS 2 ML 5 AMP,8681801751357,[]
111,468,BEN-GAY 50 GR POMAD,8683873438013,"[""8699578382216"", ""8699578382216""]"
112,472,BENICAL COLD 20 TB,8699546095131,[]
113,491,BEPANTHENE 500 MG 5 AMP,8699546755141,"[""8683052347310""]"
114,494,BEPANTHEN PASTIL 20 / NOV,8699546115198,[]
115,495,BEPANTHENE PLUS 30 GR KREM,8699546355174,"[""8699511350036""]"
116,507,BETAPLAST IPEK 5X1.25 (2501),8683249000325,[]
117,508,BETAPLAST IPEK 5X2.5 (2502),8683249000332,[]
118,509,BETAPLAST IPEK  5X5 (2505),8683249000349,[]
119,512,BETANORM 80 MG 100 TB,8699543010212,"[""8699543010144"", ""8699543010144""]"
120,514,BETANORM 80 MG 60 TB,8699543010144,"[""8699543010212"", ""8699543010212""]"
121,517,BETAPLAST 5X1.25 CM (501),8683249000004,[]
122,518,BETAPLAST 5X2.5 CM (502),8683249000028,[]
123,519,BETAPLAST 5X5 CM (505),8683249000035,[]
124,520,BETASERC 8 MG 30 TB,8699820010058,"[""8699514018568"", ""8699514018568""]"
125,522,BETNOVATE LOSYON 20 ML,8699522480432,"[""8699522490462""]"
126,524,BETNOVATE SAC LOSYONU 30 ML,8699522490462,"[""8699522480432""]"
127,527,BETOPTIC 5 ML OFT DAMLA,8699504612028,[]
128,528,BETOPTIC-S 5 ML OFT SOL,8699839611482,[]
129,564,BIOKADIN 100 ML SOL,8699535890099,"[""8699690654031"", ""8699535890105"", ""8683027038083"", ""8683027038090"", ""8699690654000"", ""8699587653635"", ""8699789006017"", ""8699690654024"", ""8699789006024"", ""8699587653628"", ""8699535890082""]"
130,565,BIOKADIN 1000 ML SOL,8699535890105,"[""8699690654031"", ""8683027038083"", ""8683027038090"", ""8699690654000"", ""8699587653635"", ""8699789006017"", ""8699690654024"", ""8699789006024"", ""8699587653628"", ""8699535890082"", ""8699535890099""]"
131,566,BIOKADIN 30 ML SOL,8699535890082,"[""8699690654031"", ""8699535890105"", ""8683027038083"", ""8683027038090"", ""8699690654000"", ""8699587653635"", ""8699789006017"", ""8699690654024"", ""8699789006024"", ""8699587653628"", ""8699535890099""]"
132,567,BIOKADIN 14 VAJ SUPP,8699535890068,[]
133,574,NUTRISON MULTI FIBRE 500 ML,8699711953181,[]
134,575,FORTIMEL DRINK CIKO.500(B.ORAL,8699711953365,"[""8699711953341""]"
135,577,FORTIMEL DRINK MUZ 500(B.ORAL),8699711953341,"[""8699711953143"", ""8699745028947"", ""8699711953365""]"
136,578,NUTRINI ENERGY 200 ML,8699711953235,[]
137,579,NUTRINI 200 ML,8699711953204,[]
138,580,NUTRISON 500 ML,8699711953143,"[""8699711953341"", ""8699745028947""]"
139,586,BITERAL 3 ML 1 AMP,8699525754653,"[""8681332750072"", ""8681332750072""]"
140,587,BITERAL 250 MG 20 TB,8699525094667,"[""8699514092315"", ""8680760091320"", ""8699514092315""]"
141,588,BITERAL VAJ 500 MG 3 TB,8699525105790,"[""8699514102366"", ""8699514102366""]"
142,589,BITIRON 100 TB,8699514016908,[]
143,604,BRICANYL DUO SURUP,8699786570214,"[""8680400771193"", ""8699569570295"", ""8681725054701"", ""8699580570144"", ""8680400771193"", ""8699569570295"", ""8681725054701"", ""8699580570144""]"
144,608,BROKSIN 150 ML SRP,8699772570525,[]
145,613,BRONKOLIN 300 MG 50 TB,8699587031341,"[""8699540170506""]"
146,620,BUCO-BLUE 15 ML DAMLA,8680133000034,[]
147,626,BULK VANILYALI 400 GR,7331563111401,[]
148,628,BURAZIN  SPREY,8699512540016,"[""8699563544902"", ""8682109004022"", ""8680760540101"", ""8680177693506"", ""8699563544902"", ""8682109004022""]"
149,633,BUSCOPAN 20 MG/ML 6 AMP,8683060750065,"[""8681332750096"", ""8681332750096""]"
150,634,BUSCOPAN 10 MG 20 DRJ,8683060120011,"[""8680381900216"", ""8680381900216""]"
151,636,BUSCOPAN PLUS 20 TB,8683060090048,"[""8699525091918"", ""8699569090342""]"
152,637,BUSPON 5 MG 50 KAP,8699525150103,[]
153,639,BUTOPAN 10 MG 20 DRJ,8680381900216,"[""8683060120011"", ""8683060120011""]"
154,643,CABRAL 800 MG 3 AMP,8699559750010,[]
155,657,CALCIUM SANDOZ.VIT-C 10 TB,8699516028572,[]
156,662,CAL.PICKEN 10 ML 5 AMP,8699587751324,"[""8697637750211"", ""8697637750211""]"
157,671,CANDEREL 18 MG 300 TB,8699543070032,[]
158,675,CANESTEN 20 GR KREM,8699546350940,[]
159,685,CARDURA 2 MG 20 TB,8699532011114,"[""8699525013309"", ""8699525013309""]"
160,686,CARDURA 4 MG 20 TB,8699532011121,"[""8699525013316"", ""8699532015983"", ""8699525013316"", ""8699532015983"", ""8699532035486""]"
161,695,CASODEX 50 MG 28 TB,8699586094286,"[""8699828090137"", ""8699650982266"", ""8699828090137"", ""8699650982266""]"
162,696,CATAFLAM 50 MG 20 DRJ,8699504120097,"[""8699566125429"", ""8699514129110"", ""8699772120102"", ""8699566125429"", ""8699504040012"", ""8699514129110"", ""8680760120037"", ""8699525134028"", ""8699511120011"", ""8698978090035"", ""8699772120102""]"
163,704,CEFAKS 250 MG 10 TB,8699525092762,"[""8699525093165"", ""8699569090113"", ""8699525093165"", ""8699569090113""]"
164,705,CEFAKS 500 MG 10 TB,8699525092779,"[""8699525093141"", ""8699525093158"", ""8699569090489"", ""8699569090076"", ""8699540091023"", ""8699540091054"", ""8699540091030"", ""8699525093141"", ""8699525093158"", ""8699569090489"", ""8699569090076"", ""8699540091023"", ""8699540091054"", ""8699540091030""]"
165,728,CELESTONE  1 AMPUL,8683280337039,"[""8699828750406"", ""8699828750406""]"
166,743,CIBACEN 10 MG 28 TB,8698856090065,[]
167,745,CIBADREX 10/12.5 MG 28 TB,8698856090072,[]
168,746,CIBADREX 5/6.25 MG 28 TB,8698856090089,[]
169,750,CIFLOSIN 750 MG 14 TB,8699525092793,"[""8699559090475"", ""8699508090501"", ""8681801090494"", ""8699578090432"", ""8699717090071"", ""8699559090475"", ""8699508090501"", ""8681801090494"", ""8699578090432"", ""8699717090071""]"
170,753,CIPRAM 20 MG 28 TB,8699795090567,"[""8699514091820"", ""8699514091813"", ""8699514091820"", ""8699514091813""]"
171,754,CIPRASID 500 MG 14 TB,8699559090345,"[""8699525093059"", ""8681801090470"", ""8699578090425"", ""8699717090040"", ""8699525093059"", ""8681801090470"", ""8699578090425"", ""8699717090040""]"
172,755,CIPRO 250 MG 14 TB,8699578090418,[]
173,756,CIPRO 500 MG 14 TB,8699578090425,"[""8699525093059"", ""8699559090345"", ""8681801090470"", ""8699717090040"", ""8699525093059"", ""8699559090345"", ""8681801090470"", ""8699717090040""]"
174,772,CITANEST 20 ML FLK,8699874080496,"[""8699606774693"", ""8699606774693""]"
175,779,CLARICIDE 500 MG 14 TB,8699569090311,"[""8699536090146"", ""8699508090471"", ""8699559090499"", ""8681801090289"", ""8699525092717"", ""8699828090090"", ""8699717090125"", ""8699548090479"", ""8681911090070"", ""8699536090146"", ""8699536030029"", ""8699536030036"", ""8699508090471"", ""8699559090499"", ""8681801090289"", ""8699536030104"", ""8699525092717"", ""8699828090090"", ""8699717090125"", ""8699548030864"", ""8699548090479"", ""8681911090070""]"
176,781,CLARITINE 10 MG 20 TB,8699546015634,[]
177,785,CLEOCIN %2 VAJINAL 40 GR KREM,8681308361004,[]
178,788,CLEOCIN 150 MG 16 KAP,8681308151001,"[""8699508150120"", ""8699569150015"", ""8699508150120"", ""8699569150015""]"
179,790,CLEOCIN-T 30 ML SOL,8681308651013,[]
180,796,CLIACIL MEGA 1.2 MG 20 TB,8699809091108,[]
181,797,CLIACIL 150 ML SRP,8699809571105,[]
182,800,CLIMEN 21 DRJ,8699546124435,[]
183,801,CLIN 150 MG 16 KAP,8699508150120,"[""8681308151001"", ""8699569150015"", ""8681308151001"", ""8699569150015""]"
184,802,CLIN 300 MG AMP,8699508750061,"[""8699569750017"", ""8699814750045"", ""8699569750017"", ""8699814750045""]"
185,803,CLIN 600 MG AMP,8699508750405,"[""8699788750584"", ""8699569750024"", ""8699814750052"", ""8699788750584"", ""8699569750024"", ""8699814750052""]"
186,805,CLOPIXOL 2 MG 50 TB,8699795090505,[]
187,806,CLOPIXOL 200 MG 1 AMP,8699795750201,[]
188,808,CLOPIXOL 50 MG 1 AMP,8699795750225,[]
189,809,CLOPIXOL 20 ML DAMLA,8699795590012,[]
190,837,CONCOR 10 MG 30 TB,8699228090058,"[""8699262090618"", ""8699262090618""]"
191,838,CONCOR 5 MG 30 TB,8699228090041,"[""8699262090601"", ""8680199009538"", ""8699262090601""]"
192,841,CONTRAMAL 2 ML 5 AMP,8699514759188,[]
193,842,CONTRAMAL 50 MG 20 KAP,8699514159162,[]
194,846,CONVULEX 50 MG 100 ML PED SRP,8699510572729,"[""8699809575189""]"
195,856,CORASPIN 100 MG 30 TB,8699546130238,"[""8699514040019"", ""8699514040019""]"
196,857,CORASPIN 300 MG 30 TB,8699546130153,"[""8699514040033"", ""8699514040033""]"
197,858,CORDARONE-BT 200 MG 30 TB,8699809018020,[]
198,864,CORTIMYCIN 5 GR GOZ POMADI,8699514440703,[]
199,871,COZAAR 50 MG 28 TB,8683280337060,"[""8699536090252"", ""8699543090252"", ""8699536090252"", ""8699543090252""]"
200,879,CYCLO-PROGYNOVA 21 DRJ,8699546120048,[]
201,885,DANASIN 100 MG 100 KAP,8699828150091,[]
202,886,DANASIN 200 MG 100 KAP,8699828150107,[]
203,887,DANASIN 50 MG 100 KAP,8699828150084,[]
204,891,DAROB 80 MG 50 TB,8699548013010,[]
205,895,DEBRIDAT FORT 200 MG 20 TB,8681308011053,"[""8699566015775"", ""8699566015768"", ""8681308011060"", ""8699566015775"", ""8699566015768"", ""8681308011060""]"
206,897,DEBRIDAT 100 MG 40 TB,8681308011077,"[""8699566015751"", ""8699566015751""]"
